"","logFC","logCPM","F","PValue","FDR"
"Prupe.6G152300.v2.1",5.20337090996164,5.26622777026563,104.079371046962,1.36228890617241e-07,2.86006170121651e-05
"Prupe.3G013500.v2.1",8.89424351879319,1.37072782771071,285.175460542531,1.39913345059967e-07,2.90709762351457e-05
"Prupe.7G022400.v2.1",-1.34075253064017,4.13984434031017,103.514919322892,1.40632862373719e-07,2.90709762351457e-05
"Prupe.2G164100.v2.1",1.24689834504309,5.34157383396712,103.199985175692,1.43161313320338e-07,2.92083255152941e-05
"Prupe.8G171600.v2.1",4.33850121493483,2.26167823842249,103.161840395921,1.4347110363632e-07,2.92083255152941e-05
"Prupe.6G165400.v2.1",-8.31668403753596,0.917270592504167,278.560176645955,1.53440729683777e-07,3.10031032240011e-05
"Prupe.4G031200.v2.1",2.82337606088209,0.78976218914223,101.420684408225,1.58470947629272e-07,3.16903688920046e-05
"Prupe.1G572600.v2.1",-2.7364465350489,2.45459715284797,101.340878258339,1.59200677275355e-07,3.16903688920046e-05
"Prupe.3G095000.v2.1",5.91275189142489,-0.303269566425927,100.976799271327,1.62579285757051e-07,3.21249496040384e-05
"Prupe.1G510700.v2.1",-1.88374590763984,3.62765819513459,100.051253893377,1.71547110163441e-07,3.35425687009967e-05
"Prupe.4G003800.v2.1",-3.78530410991129,4.05451442792668,99.9457091068875,1.7260553839709e-07,3.35425687009967e-05
"Prupe.5G074700.v2.1",2.39076544221695,2.77891766572661,99.8572731280223,1.73498197054238e-07,3.35425687009967e-05
"Prupe.3G185000.v2.1",2.22805272954072,4.23039881955081,99.3443226306463,1.78782059995583e-07,3.43172164161521e-05
"Prupe.8G023600.v2.1",-3.16884291623164,4.58653292860497,98.6315464312287,1.86435447073353e-07,3.55324806326399e-05
"Prupe.4G031400.v2.1",3.08982247539727,1.40463428345558,98.1490502076176,1.91830782887856e-07,3.63033002010235e-05
"Prupe.3G154500.v2.1",6.58101709973825,3.83252681527296,97.7493581383357,1.96436861520346e-07,3.69150194380159e-05
"Prupe.7G037000.v2.1",-8.7174759280611,1.29192721794111,261.013506209928,1.9811774077914e-07,3.69723475552627e-05
"Prupe.3G099800.v2.1",-8.40657994041582,0.99554667732024,260.197165606851,2.00568138181642e-07,3.71715005334846e-05
"Prupe.1G476500.v2.1",-4.13397668786516,4.37671332433615,97.1292910068241,2.03837363081639e-07,3.75186401239239e-05
"Prupe.4G182200.v2.1",-2.66987526226587,1.02588631947907,96.9354775311054,2.0621612369061e-07,3.76982713737262e-05
"Prupe.4G178500.v2.1",3.22516713477925,1.91825251096209,96.7057962988306,2.09076666471837e-07,3.78199440500306e-05
"Prupe.6G008000.v2.1",2.11141816674587,2.71834866703609,96.656512716914,2.09696411396367e-07,3.78199440500306e-05
"Prupe.6G017000.v2.1",-5.113155517815,2.29443946609026,95.9634270129096,2.18640348095253e-07,3.89434552090325e-05
"Prupe.2G088900.v2.1",2.61508653275769,4.08123045314989,95.907679411178,2.19378661480679e-07,3.89434552090325e-05
"Prupe.2G104000.v2.1",4.20573971593049,1.74290444553496,95.8404151999545,2.20273329802141e-07,3.89434552090325e-05
"Prupe.1G273900.v2.1",1.01052611853148,5.41347392018432,95.5828549580204,2.23738211285089e-07,3.91113705925235e-05
"Prupe.1G120400.v2.1",2.4045442094604,3.81703467156038,95.5537324224348,2.24133928896983e-07,3.91113705925235e-05
"Prupe.7G078000.v2.1",1.7319741338434,3.02299935067418,94.6619712637244,2.36651148617731e-07,4.10292020438985e-05
"Prupe.7G043900.v2.1",-2.47933279267764,4.48935052630689,93.9428803498258,2.4733408238429e-07,4.23451431296797e-05
"Prupe.1G120000.v2.1",-6.57689420680514,0.659061875105939,93.9390256702026,2.47392828168039e-07,4.23451431296797e-05
"Prupe.6G094500.v2.1",-1.73033215065504,3.31134298090948,93.5914865085317,2.52756109934608e-07,4.29893350776755e-05
"Prupe.8G171400.v2.1",5.63867631392743,3.61307633216933,93.1339549852323,2.60022563492181e-07,4.39470839542476e-05
"Prupe.6G118000.v2.1",1.24397170576234,4.87298877934859,92.5188813831513,2.70174022928718e-07,4.53774157385215e-05
"Prupe.1G183100.v2.1",-8.67584033303257,1.29795243353893,240.457979627131,2.73253723397897e-07,4.56096106141098e-05
"Prupe.1G183200.v2.1",-4.87402125859322,2.24158629604382,90.7261129848296,3.02473435512229e-07,5.01751150155564e-05
"Prupe.3G123900.v2.1",-2.8112465763442,2.84293548863117,90.1078514538731,3.14629445567209e-07,5.18713931946479e-05
"Prupe.2G088400.v2.1",2.03986844504846,2.99225347681066,89.7037408314947,3.2287941462648e-07,5.26302611200684e-05
"Prupe.1G570700.v2.1",-2.24330722990106,3.74990017695282,89.6284613898965,3.24443674966934e-07,5.26302611200684e-05
"Prupe.2G214200.v2.1",-5.4386513023843,0.541337527164526,89.5966245400767,3.25107853456308e-07,5.26302611200684e-05
