"","logFC","logCPM","F","PValue","FDR"
"Prupe.1G256200.v2.1",1.58965019890614,7.05303510984434,104.554474446474,1.32644978542211e-07,2.51025951293297e-05
"Prupe.5G125700.v2.1",-1.05341263507427,5.94153388170875,104.342576558805,1.3422981298651e-07,2.51046088298908e-05
"Prupe.4G029300.v2.1",2.6478890697521,6.28392032742914,104.303559162252,1.34524008168209e-07,2.51046088298908e-05
"Prupe.7G031400.v2.1",-2.13259217206303,5.53613194054401,103.984369650894,1.36958854534416e-07,2.5382726192437e-05
"Prupe.4G161400.v2.1",6.39406127100809,1.88701217347058,103.448712291884,1.41160102428028e-07,2.59660624146932e-05
"Prupe.2G019800.v2.1",1.93405890646849,5.57166196063854,103.33899133718,1.42038893125438e-07,2.59660624146932e-05
"Prupe.6G303400.v2.1",2.75748517456462,4.41693103750208,103.14576503342,1.43601890127699e-07,2.60744161716327e-05
"Prupe.5G118100.v2.1",-3.08085133712096,1.46856628406835,102.606767214207,1.48067725524734e-07,2.67048589800415e-05
"Prupe.8G019200.v2.1",2.2182216859348,5.95603813063079,102.239063918359,1.51206251321831e-07,2.70741399647319e-05
"Prupe.1G543000.v2.1",2.52262339320258,4.08347829109079,102.132489348613,1.52130210050032e-07,2.70741399647319e-05
"Prupe.3G137400.v2.1",1.77533326608757,3.84463071545254,101.904762865961,1.54126413700197e-07,2.71862363843835e-05
"Prupe.4G235100.v2.1",1.50784504018572,4.56869614260474,101.830557620957,1.5478339473861e-07,2.71862363843835e-05
"Prupe.2G193100.v2.1",-1.75276595673693,3.94794180355667,101.635832453715,1.56522819884191e-07,2.73132320697914e-05
"Prupe.3G039300.v2.1",3.214600321972,7.44039067729321,101.494609060513,1.57798436529444e-07,2.73581766764887e-05
"Prupe.3G229500.v2.1",-2.84153247289697,4.69755751667801,100.746602199615,1.64758148355874e-07,2.83817033382525e-05
"Prupe.5G015300.v2.1",3.64532369809895,4.90357762644134,100.157293987598,1.70491245124142e-07,2.89702896865994e-05
