gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.5G204600.v2.1	1672	1703	1792	1408	1210	1333	2256	1622	1463	1389	1294	1293
Prupe.5G204700.v2.1	200	314	324	176	232	282	157	191	181	50	106	142
Prupe.5G204800.v2.1	1231	2628	2836	1823	2458	3095	1417	2403	2148	725	2184	3155
Prupe.5G204900.v2.1	2	1	3	1	2	0	1	1	0	3	142	525
Prupe.5G205000.v2.1	0	0	0	0	0	0	0	0	0	0	0	1
Prupe.5G205100.v2.1	230	391	369	361	425	476	220	422	300	254	419	526
Prupe.5G205200.v2.1	191	310	239	428	469	550	208	322	247	241	405	371
Prupe.5G205300.v2.1	2570	3697	3446	2372	2663	3077	2288	2331	2095	1256	1676	2334
Prupe.5G205400.v2.1	162	306	324	237	234	355	128	224	223	151	274	278
Prupe.5G205500.v2.1	2	5	3	7	10	6	5	2	4	4	23	8
Prupe.5G205600.v2.1	0	2	0	4	3	3	7	4	7	2	1	1
Prupe.5G205700.v2.1	144	239	280	251	330	501	64	165	90	38	81	138
Prupe.5G205800.v2.1	219	357	387	514	491	473	301	369	515	354	517	603
Prupe.5G205900.v2.1	144	273	240	161	173	172	397	394	432	51	77	67
Prupe.5G206000.v2.1	365	646	618	406	566	619	491	541	448	146	451	573
Prupe.5G206100.v2.1	128	110	81	83	81	98	78	105	56	54	81	182
Prupe.5G206200.v2.1	635	1023	1022	934	1113	1169	658	976	944	551	961	1056
Prupe.5G206300.v2.1	332	595	498	437	523	654	381	441	458	248	527	805
Prupe.5G206400.v2.1	12	18	9	10	7	8	7	18	2	3	17	19
Prupe.5G206500.v2.1	390	593	500	632	797	848	426	929	465	416	644	692
Prupe.5G206600.v2.1	599	822	910	994	1287	1036	590	630	583	418	560	568
Prupe.5G206700.v2.1	1229	1321	1184	1008	1053	1319	733	942	695	566	707	672
Prupe.5G206800.v2.1	2046	4733	3879	2016	2952	3677	3018	4081	3378	767	1879	2167
Prupe.5G206900.v2.1	8	27	21	15	26	24	24	22	16	6	18	22
Prupe.5G207000.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G207100.v2.1	725	1031	974	938	976	1190	680	775	693	426	758	884
Prupe.5G207200.v2.1	289	310	338	225	216	280	76	63	57	5	44	46
Prupe.5G207300.v2.1	151	184	138	155	128	164	138	132	96	114	108	126
Prupe.5G207400.v2.1	91	102	87	78	65	84	58	69	51	43	50	48
Prupe.5G207500.v2.1	4	0	1	3	3	1	1	0	1	2	7	4
Prupe.5G207600.v2.1	676	711	682	610	710	772	548	545	447	332	346	390
Prupe.5G207700.v2.1	232	481	472	312	358	431	201	303	172	54	106	140
Prupe.5G207800.v2.1	1170	1394	1467	1400	1458	1706	835	1768	1192	585	908	1205
Prupe.5G207900.v2.1	1	1	4	8	6	10	0	0	3	5	52	99
Prupe.5G208000.v2.1	2	10	2	7	6	13	11	11	7	4	6	14
Prupe.5G208100.v2.1	1	2	0	4	1	0	1	0	0	0	2	0
Prupe.5G208200.v2.1	5430	9186	13171	10197	12340	10840	5580	9749	13023	3146	6898	7862
Prupe.5G208300.v2.1	47	79	62	95	115	160	56	80	44	33	44	98
Prupe.5G208400.v2.1	179	365	340	224	272	366	266	359	303	112	611	1042
Prupe.5G208500.v2.1	2097	2656	2167	1496	1401	1715	1206	1581	1314	1374	1629	1836
Prupe.5G208600.v2.1	20	21	25	16	20	28	14	10	11	18	15	20
Prupe.5G208700.v2.1	82	214	155	107	138	151	127	198	156	115	123	149
Prupe.5G208800.v2.1	15	44	46	26	39	54	21	32	16	5	16	22
Prupe.5G208900.v2.1	59	110	119	79	117	131	61	105	94	30	59	86
Prupe.5G209000.v2.1	0	0	1	0	0	0	0	0	0	0	0	0
Prupe.5G209100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G209200.v2.1	4	4	5	3	5	6	2	6	4	0	5	10
Prupe.5G209300.v2.1	111	160	153	108	138	160	92	123	100	55	86	91
Prupe.5G209400.v2.1	11	27	36	31	28	29	18	24	23	8	17	25
Prupe.5G209500.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G209600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G209700.v2.1	20	91	76	63	86	121	14	46	55	6	65	66
Prupe.5G209800.v2.1	199	447	444	353	464	602	267	407	286	133	327	232
Prupe.5G209900.v2.1	1	0	0	0	0	0	0	0	0	0	0	2
Prupe.5G210000.v2.1	221	270	235	176	229	259	146	225	173	130	173	207
Prupe.5G210100.v2.1	11	12	17	71	39	56	22	28	35	5	42	19
Prupe.5G210200.v2.1	518	612	325	336	365	492	479	746	482	243	269	410
Prupe.5G210300.v2.1	1	0	0	0	0	0	0	0	0	2	2	3
Prupe.5G210400.v2.1	1001	2278	2734	2391	2754	2866	1463	2914	2831	715	2332	2893
Prupe.5G210500.v2.1	293	511	313	644	788	950	352	738	378	313	599	753
Prupe.5G210600.v2.1	357	756	1115	553	535	606	298	715	1054	62	469	419
Prupe.5G210700.v2.1	211	283	252	152	178	237	138	218	139	80	111	137
Prupe.5G210800.v2.1	141	327	367	718	558	556	178	361	597	178	482	582
Prupe.5G210900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G211000.v2.1	208	266	259	308	359	464	71	155	82	32	73	69
Prupe.5G211100.v2.1	478	661	794	578	615	724	457	570	552	341	558	560
Prupe.5G211200.v2.1	4	0	2	0	1	0	0	0	0	0	1	0
Prupe.5G211300.v2.1	136	246	195	184	154	242	116	151	124	58	109	148
Prupe.5G211400.v2.1	38	62	65	79	72	107	56	54	48	21	42	70
Prupe.5G211500.v2.1	520	782	606	440	458	419	550	552	472	366	515	611
Prupe.5G211600.v2.1	52	83	52	296	382	395	111	99	66	471	297	190
Prupe.5G211700.v2.1	134	262	249	258	306	333	189	245	199	288	457	502
Prupe.5G211800.v2.1	449	1055	1071	810	1028	1105	504	1012	846	447	778	922
Prupe.5G211900.v2.1	209	391	436	353	461	464	274	397	332	374	446	520
Prupe.5G212000.v2.1	150	193	179	135	150	189	130	135	119	70	160	146
Prupe.5G212100.v2.1	525	825	646	469	542	750	526	470	360	222	177	340
Prupe.5G212200.v2.1	416	1040	1048	712	1097	1445	661	1055	852	286	1005	1087
Prupe.5G212300.v2.1	25	48	41	29	64	68	14	15	8	10	13	16
Prupe.5G212400.v2.1	0	1	1	0	0	0	0	1	0	0	0	0
Prupe.5G212500.v2.1	0	0	0	1	0	0	0	0	0	0	0	0
Prupe.5G212600.v2.1	60	105	98	69	72	108	56	78	52	26	67	80
Prupe.5G212700.v2.1	84	135	130	89	94	143	79	118	80	36	77	83
Prupe.5G212800.v2.1	484	749	709	564	658	812	336	534	430	141	377	607
Prupe.5G212900.v2.1	3	8	4	1	0	1	4	7	4	5	32	59
Prupe.5G213000.v2.1	620	1038	909	883	959	1092	543	791	696	553	1145	1208
Prupe.5G213100.v2.1	667	1370	1240	966	1154	1469	621	1141	873	449	940	1012
Prupe.5G213200.v2.1	9	2	0	2	0	4	1	0	0	0	0	0
Prupe.5G213300.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G213400.v2.1	0	2	3	1	1	1	0	1	1	1	4	0
Prupe.5G213500.v2.1	0	2	2	0	0	1	0	1	1	0	0	0
Prupe.5G213600.v2.1	229	391	236	456	577	731	202	307	166	405	490	707
Prupe.5G213700.v2.1	49	25	18	52	21	24	20	11	16	19	8	4
Prupe.5G213800.v2.1	0	8	3	7	11	7	4	15	4	16	18	15
Prupe.5G213900.v2.1	112	277	179	295	403	480	335	434	166	820	364	343
Prupe.5G214000.v2.1	31	42	27	17	18	32	20	39	22	18	78	90
Prupe.5G214100.v2.1	2	4	4	1	2	4	2	4	2	0	124	124
Prupe.5G214200.v2.1	573	692	1215	1132	1148	978	909	1169	1638	1088	2031	1560
Prupe.5G214300.v2.1	684	1070	1022	1117	1188	1461	634	842	724	575	735	599
Prupe.5G214400.v2.1	1084	1478	1572	1613	1715	1964	1113	1433	1399	1201	1843	1934
Prupe.5G214500.v2.1	179	276	305	127	125	210	159	167	125	10	85	126
Prupe.5G214600.v2.1	127	173	187	178	184	224	120	114	114	56	200	320
Prupe.5G214700.v2.1	994	1618	1357	826	1075	1234	1084	970	817	345	423	458
Prupe.5G214800.v2.1	0	2	2	1	3	1	2	1	0	0	0	1
Prupe.5G214900.v2.1	44	64	57	30	38	52	52	56	43	5	27	33
Prupe.5G215000.v2.1	0	1	0	0	2	0	1	0	0	0	0	0
Prupe.5G215100.v2.1	0	0	0	0	0	0	0	1	0	0	0	0
Prupe.5G215200.v2.1	28	90	74	45	68	93	29	63	50	7	36	51
Prupe.5G215300.v2.1	24	41	42	58	34	55	41	43	28	20	30	20
Prupe.5G215400.v2.1	2	5	1	3	6	6	0	1	0	0	1	0
Prupe.5G215500.v2.1	67	84	52	54	69	102	46	36	30	24	44	71
Prupe.5G215600.v2.1	5	6	14	2	5	12	7	5	6	0	0	2
Prupe.5G215700.v2.1	286	540	501	330	419	504	321	561	462	157	353	343
Prupe.5G215800.v2.1	80	139	108	210	206	344	46	51	46	47	153	260
Prupe.5G215900.v2.1	205	296	257	182	231	270	167	187	165	49	137	191
Prupe.5G216000.v2.1	0	0	0	0	0	0	0	0	1	0	0	0
Prupe.5G216100.v2.1	22	55	52	82	95	72	41	40	51	53	210	197
Prupe.5G216200.v2.1	209	292	298	359	396	443	160	329	231	224	358	353
Prupe.5G216300.v2.1	362	409	369	300	349	328	315	278	233	275	289	334
Prupe.5G216400.v2.1	28	39	34	52	51	77	33	30	25	84	43	40
Prupe.5G216500.v2.1	259	302	180	147	94	177	155	127	101	104	145	186
Prupe.5G216600.v2.1	3	7	6	10	17	15	11	6	20	10	71	89
Prupe.5G216700.v2.1	5	2	3	3	4	2	10	2	2	75	3	6
Prupe.5G216800.v2.1	1299	1204	1141	1382	1187	1365	1041	1016	870	1251	1058	1063
Prupe.5G216900.v2.1	3	2	6	3	1	1	2	2	0	0	8	8
Prupe.5G217000.v2.1	1478	2322	2316	1903	2286	2731	1684	1962	1673	1095	1906	1703
Prupe.5G217100.v2.1	6	14	7	4	5	1	1	10	4	4	1	9
Prupe.5G217200.v2.1	32	25	27	89	102	101	28	21	31	230	175	130
Prupe.5G217300.v2.1	296	557	535	343	475	564	254	354	247	97	180	170
Prupe.5G217400.v2.1	401	832	701	577	756	943	337	559	423	321	684	746
Prupe.5G217500.v2.1	8	6	1	16	15	18	9	4	5	4	1	5
Prupe.5G217600.v2.1	637	980	964	813	980	1209	648	867	616	556	815	868
Prupe.5G217700.v2.1	217	127	62	79	88	104	120	114	43	109	43	74
Prupe.5G217800.v2.1	1081	1375	1272	1408	1285	1595	1055	1054	883	698	1078	1105
Prupe.5G217900.v2.1	5	18	20	16	18	26	11	12	17	5	12	13
Prupe.5G218000.v2.1	10	19	16	17	18	25	18	19	10	9	11	8
Prupe.5G218100.v2.1	913	1509	1355	878	1164	1425	852	1003	904	324	813	740
Prupe.5G218200.v2.1	816	2493	4048	3926	5060	4280	1701	3215	4840	1102	12743	10886
Prupe.5G218300.v2.1	9	43	46	22	43	36	26	27	26	6	14	31
Prupe.5G218400.v2.1	30	63	50	23	18	22	38	58	48	5	44	46
Prupe.5G218500.v2.1	528	556	316	202	225	354	271	488	219	293	319	409
Prupe.5G218600.v2.1	245	325	267	262	244	331	176	208	187	148	173	201
Prupe.5G218700.v2.1	38	34	41	35	24	37	28	24	21	15	11	10
Prupe.5G218800.v2.1	2951	3133	2981	2770	2725	2871	1769	3304	2322	1095	1367	2617
Prupe.5G218900.v2.1	236	364	341	186	239	271	264	233	231	99	225	225
Prupe.5G219000.v2.1	14	5	6	20	13	17	4	8	0	15	29	21
Prupe.5G219100.v2.1	7	2	1	6	8	6	0	1	0	3	37	56
Prupe.5G219200.v2.1	0	0	0	0	1	2	1	1	0	0	8	7
Prupe.5G219300.v2.1	0	0	0	0	0	1	0	0	0	0	0	0
Prupe.5G219400.v2.1	10	14	14	24	22	10	13	9	12	8	4	2
Prupe.5G219500.v2.1	10	10	16	15	16	5	12	6	6	9	9	4
Prupe.5G219600.v2.1	1159	2141	2232	1977	2508	2644	1541	2197	1917	1108	2180	1934
Prupe.5G219700.v2.1	947	1150	1121	712	635	767	912	1028	1041	541	403	246
Prupe.5G219800.v2.1	0	5	7	3	2	1	1	1	1	0	0	0
Prupe.5G219900.v2.1	14	58	55	24	45	53	25	49	73	4	31	15
Prupe.5G220000.v2.1	1951	3297	3251	2660	3628	3807	1905	3188	2464	1376	2986	2772
Prupe.5G220100.v2.1	988	2092	1994	1602	2175	2729	1068	1942	1532	792	2256	2360
Prupe.5G220200.v2.1	384	661	566	610	677	798	467	734	509	664	1379	1254
Prupe.5G220300.v2.1	1	1	2	0	0	0	2	1	1	4	4	0
Prupe.5G220400.v2.1	3	0	0	183	57	91	3	1	1	34	175	47
Prupe.5G220500.v2.1	158	297	234	215	216	239	169	260	222	144	322	462
Prupe.5G220600.v2.1	298	485	261	373	422	369	285	361	292	81	161	285
Prupe.5G220700.v2.1	207	458	601	595	679	821	328	543	547	223	395	397
Prupe.5G220800.v2.1	388	549	516	296	322	440	350	370	309	213	334	337
Prupe.5G220900.v2.1	54	55	47	63	62	93	30	48	26	10	44	115
Prupe.5G221000.v2.1	3	0	1	2	6	4	1	0	0	0	6	42
Prupe.5G221100.v2.1	680	1615	1575	808	1238	1376	973	1431	1241	587	1309	1854
Prupe.5G221200.v2.1	2	5	11	6	8	4	0	0	0	7	15	10
Prupe.5G221300.v2.1	27	61	40	23	34	56	3	3	4	0	1	6
Prupe.5G221400.v2.1	3947	7751	4457	6397	7420	13014	4384	5675	3848	5126	7589	7716
Prupe.5G221500.v2.1	106	99	127	137	154	158	69	106	101	29	249	386
Prupe.5G221600.v2.1	5	4	5	0	0	0	5	5	3	3	2	1
Prupe.5G221700.v2.1	728	444	345	406	275	303	397	320	247	204	157	206
Prupe.5G221800.v2.1	718	971	761	692	804	984	519	839	572	362	560	669
Prupe.5G221900.v2.1	183	285	386	376	350	294	316	330	491	292	459	481
Prupe.5G222000.v2.1	1	0	0	2	0	0	0	0	0	0	9	16
Prupe.5G222100.v2.1	789	1408	1297	878	1096	1298	927	1157	1007	677	1476	1215
Prupe.5G222200.v2.1	0	0	0	8	11	12	0	0	0	4	26	12
Prupe.5G222300.v2.1	0	0	0	2	1	0	0	0	0	0	1	1
Prupe.5G222400.v2.1	224	267	253	538	682	509	671	284	238	1877	924	704
Prupe.5G222500.v2.1	2642	4133	4027	3449	4448	5122	2813	3552	3124	1605	3311	4093
Prupe.5G222600.v2.1	21	60	51	53	103	91	41	77	65	29	104	95
Prupe.5G222700.v2.1	0	0	1	2	6	3	2	1	2	4	7	3
Prupe.5G222800.v2.1	107	255	313	213	322	290	152	215	317	82	346	388
Prupe.5G222900.v2.1	724	991	971	926	1004	1030	691	889	806	671	1037	956
Prupe.5G223000.v2.1	0	3	2	7	8	5	3	0	2	11	5	13
Prupe.5G223100.v2.1	371	594	481	373	487	570	360	635	438	315	618	543
Prupe.5G223200.v2.1	324	387	426	323	357	424	238	273	250	252	292	309
Prupe.5G223300.v2.1	204	354	277	157	222	323	162	256	158	103	142	114
Prupe.5G223400.v2.1	7	9	3	7	1	5	21	10	9	12	9	28
Prupe.5G223500.v2.1	1	5	2	6	3	5	3	2	0	2	2	5
Prupe.5G223600.v2.1	28	90	362	1438	1564	1436	333	151	470	583	1929	1014
Prupe.5G223700.v2.1	2	2	9	18	30	26	2	7	7	1	35	17
Prupe.5G223800.v2.1	24	18	45	70	89	76	26	13	28	42	132	99
Prupe.5G223900.v2.1	81	146	410	414	546	452	115	152	263	198	425	434
Prupe.5G224000.v2.1	0	0	0	0	0	0	0	0	0	0	0	1
Prupe.5G224100.v2.1	310	503	491	382	498	598	358	479	367	412	658	789
Prupe.5G224200.v2.1	105	144	156	162	199	225	98	92	94	94	277	378
Prupe.5G224300.v2.1	26	47	23	245	185	280	25	45	45	30	102	177
Prupe.5G224400.v2.1	170	377	309	320	403	468	164	317	272	148	292	374
Prupe.5G224500.v2.1	11	11	33	8	23	24	10	16	9	8	71	112
Prupe.5G224600.v2.1	0	0	0	0	2	1	0	1	0	0	1	1
Prupe.5G224700.v2.1	0	1	0	0	0	0	0	0	0	0	0	0
Prupe.5G224800.v2.1	8	6	17	3	5	10	6	15	3	2	8	9
Prupe.5G224900.v2.1	744	881	772	592	614	827	784	803	721	404	489	568
Prupe.5G225000.v2.1	120	189	149	114	107	137	232	216	139	61	88	109
Prupe.5G225100.v2.1	478	566	418	399	401	455	345	570	455	277	238	299
Prupe.5G225200.v2.1	43	90	116	111	146	156	42	64	46	65	71	85
Prupe.5G225300.v2.1	417	355	385	436	421	477	337	356	309	228	222	361
Prupe.5G225400.v2.1	478	360	310	438	386	414	236	337	220	205	187	208
Prupe.5G225500.v2.1	0	0	1	2	3	1	1	0	2	0	1	0
Prupe.5G225600.v2.1	18	13	10	3	5	2	22	8	6	2	5	9
Prupe.5G225700.v2.1	9	5	2	5	6	4	8	3	2	0	2	5
Prupe.5G225800.v2.1	2	1	1	6	1	0	1	0	0	0	0	1
Prupe.5G225900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G226000.v2.1	0	0	0	0	0	0	0	0	1	0	0	0
Prupe.5G226100.v2.1	0	1	2	0	6	1	11	0	0	0	7	1
Prupe.5G226200.v2.1	0	6	16	47	51	16	9	1	8	8	9	10
Prupe.5G226300.v2.1	0	0	0	5	6	7	0	0	1	1	0	6
Prupe.5G226400.v2.1	0	4	2	3	2	8	1	5	0	2	3	0
Prupe.5G226500.v2.1	44	76	85	50	64	61	42	84	70	40	74	82
Prupe.5G226600.v2.1	598	981	1038	866	875	1054	653	904	759	436	799	674
Prupe.5G226700.v2.1	264	478	495	424	579	725	235	397	298	214	427	495
Prupe.5G226800.v2.1	169	287	274	168	219	246	183	223	193	129	152	207
Prupe.5G226900.v2.1	0	1	1	1	3	1	3	0	2	0	1	3
Prupe.5G227000.v2.1	1690	2546	2390	1948	2301	2630	1304	1703	1399	589	1059	1313
Prupe.5G227100.v2.1	561	944	951	608	751	936	540	719	558	276	402	419
Prupe.5G227200.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G227300.v2.1	129	176	166	97	104	132	91	133	134	56	50	93
Prupe.5G227400.v2.1	56	78	91	41	51	57	17	33	20	16	24	26
Prupe.5G227500.v2.1	25	41	62	25	28	42	5	23	12	5	9	16
Prupe.5G227600.v2.1	0	0	0	0	1	1	0	1	0	0	0	0
Prupe.5G227700.v2.1	870	1134	981	497	630	625	613	631	513	1413	1087	967
Prupe.5G227800.v2.1	21	15	21	10	11	16	9	16	12	12	16	12
Prupe.5G227900.v2.1	354	613	632	480	486	521	432	510	449	227	358	376
Prupe.5G228000.v2.1	89	138	131	114	213	132	271	299	291	106	201	244
Prupe.5G228100.v2.1	161	200	159	11	13	20	478	233	384	4	48	63
Prupe.5G228200.v2.1	64	93	80	94	82	101	60	89	58	33	55	70
Prupe.5G228300.v2.1	787	1089	979	1267	1406	1765	629	1155	694	614	870	1300
Prupe.5G228400.v2.1	52	71	60	9	12	6	546	371	331	48	77	28
Prupe.5G228500.v2.1	2	1	0	1	1	1	2	8	5	0	0	6
Prupe.5G228600.v2.1	1	0	0	0	0	0	1	0	0	0	2	0
Prupe.5G228700.v2.1	0	1	0	1	0	3	0	1	1	0	2	18
Prupe.5G228800.v2.1	0	0	0	1	0	0	0	0	0	0	0	0
Prupe.5G228900.v2.1	0	6	2	2	0	1	0	0	1	0	1	0
Prupe.5G229000.v2.1	0	1	1	0	1	0	0	0	0	0	0	0
Prupe.5G229100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G229200.v2.1	2137	3760	3923	2556	3129	3429	2351	3059	2853	1379	2436	2620
Prupe.5G229300.v2.1	0	3	1	0	1	1	5	0	3	0	2	0
Prupe.5G229400.v2.1	189	165	157	97	88	123	159	112	188	73	63	66
Prupe.5G229500.v2.1	8	19	15	7	10	3	13	10	6	2	4	5
Prupe.5G229600.v2.1	2	7	6	4	2	5	4	2	1	4	6	6
Prupe.5G229700.v2.1	0	2	1	1	1	2	0	1	0	4	1	1
Prupe.5G229800.v2.1	673	702	660	603	521	651	439	560	423	275	363	405
Prupe.5G229900.v2.1	212	423	389	288	373	457	261	347	321	161	295	325
Prupe.5G230000.v2.1	3543	9084	8557	5306	8435	10172	3787	6072	5402	1307	4600	5782
Prupe.5G230100.v2.1	318	465	586	396	488	424	280	328	378	143	302	298
Prupe.5G230200.v2.1	20	19	14	33	32	32	26	46	17	18	34	47
Prupe.5G230300.v2.1	28	49	44	39	62	43	17	26	11	13	15	17
Prupe.5G230400.v2.1	231	377	293	590	725	1051	162	267	275	202	562	1186
Prupe.5G230500.v2.1	252	301	252	221	227	274	192	244	195	173	181	222
Prupe.5G230600.v2.1	456	696	647	556	625	728	349	735	481	171	493	510
Prupe.5G230700.v2.1	8	14	6	5	11	7	8	11	4	3	0	2
Prupe.5G230800.v2.1	10	25	8	8	7	11	8	8	3	4	6	6
Prupe.5G230900.v2.1	5	13	17	6	4	7	2	13	7	2	10	9
Prupe.5G231000.v2.1	284	398	255	408	391	608	182	294	213	80	221	428
Prupe.5G231100.v2.1	0	2	2	0	1	2	0	0	0	0	2	1
Prupe.5G231200.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G231300.v2.1	73	79	102	59	76	100	58	68	62	26	51	27
Prupe.5G231400.v2.1	607	1088	1455	1826	1972	1974	498	1114	1225	671	1378	1302
Prupe.5G231500.v2.1	0	0	1	37	5	4	0	0	4	8	66	8
Prupe.5G231600.v2.1	1212	1080	961	1168	1225	1247	718	904	795	790	1065	1244
Prupe.5G231700.v2.1	57	132	114	78	107	119	43	61	72	55	62	51
Prupe.5G231800.v2.1	166	499	589	636	977	1024	348	539	468	396	920	934
Prupe.5G231900.v2.1	61	93	55	143	123	175	57	47	34	146	310	461
Prupe.5G232000.v2.1	102	292	237	192	217	256	171	250	229	75	257	319
Prupe.5G232100.v2.1	503	621	554	508	536	559	522	501	440	415	401	430
Prupe.5G232200.v2.1	214	368	961	370	445	344	244	202	269	388	421	476
Prupe.5G232300.v2.1	2088	3228	6079	6839	6153	5823	2642	3455	6665	2066	6183	6123
Prupe.5G232400.v2.1	72	81	118	125	115	102	38	43	40	13	23	24
Prupe.5G232500.v2.1	2007	2396	2084	3879	3474	4901	1471	1688	967	267	824	1265
Prupe.5G232600.v2.1	87	100	86	76	57	84	104	92	61	7	36	35
Prupe.5G232700.v2.1	10	10	10	21	6	12	10	15	5	3	3	19
Prupe.5G232800.v2.1	82	70	81	161	152	163	68	55	69	133	155	207
Prupe.5G232900.v2.1	39	101	142	153	227	194	68	82	110	109	224	267
Prupe.5G233000.v2.1	1101	1778	1807	2123	1831	2993	1119	2167	2047	423	2451	2661
Prupe.5G233100.v2.1	602	927	848	485	538	938	379	801	532	26	210	500
Prupe.5G233200.v2.1	0	0	0	0	0	0	0	0	0	0	0	1
Prupe.5G233300.v2.1	1050	1787	2071	2250	2438	3106	1035	1620	1542	954	1361	1728
Prupe.5G233400.v2.1	1	40	21	24	36	32	15	37	24	5	26	16
Prupe.5G233500.v2.1	76	79	116	79	88	99	37	41	20	17	22	11
Prupe.5G233600.v2.1	628	1018	952	585	771	901	616	724	606	403	603	656
Prupe.5G233700.v2.1	228	380	321	271	305	359	176	241	216	103	166	202
Prupe.5G233800.v2.1	296	523	480	269	332	487	307	399	295	96	180	213
Prupe.5G233900.v2.1	255	431	473	237	363	442	208	302	192	86	180	151
Prupe.5G234000.v2.1	965	1219	1105	945	983	1110	809	1116	833	960	1114	1195
Prupe.5G234100.v2.1	94	223	229	115	160	196	123	198	165	80	198	261
Prupe.5G234200.v2.1	424	690	609	754	788	904	351	683	538	340	694	939
Prupe.5G234300.v2.1	546	1096	1164	2460	3142	3713	620	959	649	1226	4362	5305
Prupe.5G234400.v2.1	132	294	213	128	163	222	132	218	131	60	124	158
Prupe.5G234500.v2.1	137	125	95	64	83	108	90	72	61	60	39	80
Prupe.5G234600.v2.1	2	0	6	3	3	6	0	3	0	3	12	2
Prupe.5G234700.v2.1	337	630	535	306	369	501	372	464	365	174	455	604
Prupe.5G234800.v2.1	726	1014	1253	1100	1130	1097	819	1017	1154	836	1177	978
Prupe.5G234900.v2.1	82	193	173	99	129	166	87	177	129	28	87	102
Prupe.5G235000.v2.1	4	7	3	5	12	7	2	3	4	1	5	8
Prupe.5G235100.v2.1	0	0	0	0	0	0	0	0	0	0	1	1
Prupe.5G235200.v2.1	293	413	393	243	276	386	294	349	303	198	291	337
Prupe.5G235300.v2.1	236	375	367	233	392	411	231	361	297	187	381	500
Prupe.5G235400.v2.1	1227	2543	2563	2050	2830	3553	1264	2376	1966	1046	2906	2766
Prupe.5G235500.v2.1	810	1377	1240	1080	1360	1760	602	1362	814	202	620	1067
Prupe.5G235600.v2.1	1	5	9	4	4	4	4	4	1	0	6	3
Prupe.5G235700.v2.1	200	223	317	132	153	164	224	203	254	50	201	142
Prupe.5G235800.v2.1	64	128	136	84	102	106	98	100	145	49	118	118
Prupe.5G235900.v2.1	559	2296	1228	3114	4176	4100	1928	3972	2920	3482	4592	5175
Prupe.5G236000.v2.1	0	0	0	0	0	0	0	1	3	2	2	1
Prupe.5G236100.v2.1	0	0	0	0	0	0	0	0	0	0	1	1
Prupe.5G236200.v2.1	210	504	792	390	494	451	420	459	757	1248	1388	1301
Prupe.5G236300.v2.1	224	401	362	301	342	372	318	584	583	356	729	1013
Prupe.5G236400.v2.1	842	1622	1427	1366	1778	1819	949	1215	1187	1054	1464	1530
Prupe.5G236500.v2.1	4	14	26	44	36	49	4	10	18	5	73	98
Prupe.5G236600.v2.1	0	2	0	13	11	16	0	1	4	2	6	3
Prupe.5G236700.v2.1	12	22	16	51	53	69	17	31	20	19	14	5
Prupe.5G236800.v2.1	586	933	831	877	995	971	763	943	770	1234	1506	1618
Prupe.5G236900.v2.1	393	334	130	333	395	410	297	128	75	1253	1481	1258
Prupe.5G237000.v2.1	88	175	125	110	161	163	77	85	37	42	59	57
Prupe.5G237100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G237200.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.5G237300.v2.1	837	1359	1293	748	913	1121	778	1076	1118	418	813	1052
Prupe.5G237400.v2.1	14	168	817	1115	1530	1005	96	426	889	144	418	300
Prupe.5G237500.v2.1	282	471	388	363	380	445	239	318	291	168	393	429
Prupe.5G237600.v2.1	124	192	161	148	166	165	96	115	91	62	101	141
Prupe.5G237700.v2.1	771	2522	2165	2055	2560	2467	1728	3273	3401	995	3670	3660
Prupe.5G237800.v2.1	103	236	182	302	283	245	286	308	340	206	433	395
Prupe.5G237900.v2.1	19	47	12	90	85	80	9	18	19	20	42	95
Prupe.5G238000.v2.1	38	69	60	7	24	32	29	40	48	1	16	20
Prupe.5G238100.v2.1	457	709	604	481	576	609	290	659	508	288	705	874
Prupe.5G238200.v2.1	0	1	2	1	1	1	2	1	2	0	3	3
Prupe.5G238300.v2.1	7	2	8	9	8	7	25	23	14	28	19	13
Prupe.5G238400.v2.1	321	581	754	676	754	748	267	363	345	381	1577	1216
Prupe.5G238500.v2.1	0	1	2	1	0	0	0	0	0	0	0	0
