gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.1G012100.v2.1	7	27	16	17	30	20	24	48	26	18	50	37
Prupe.1G012200.v2.1	1551	2566	2092	551	425	766	1720	2527	2040	95	401	113
Prupe.1G012300.v2.1	6	10	18	10	6	8	7	3	5	0	7	2
Prupe.1G012400.v2.1	0	0	1	0	0	0	0	1	0	0	1	1
Prupe.1G012500.v2.1	0	1	3	0	3	1	0	2	0	0	0	0
Prupe.1G012600.v2.1	0	0	1	0	0	0	0	3	0	0	0	1
Prupe.1G012700.v2.1	30	26	29	24	34	35	12	24	24	6	24	42
Prupe.1G012800.v2.1	23	26	12	35	46	44	21	16	7	32	29	45
Prupe.1G012900.v2.1	82	70	29	0	3	1	49	48	35	2	2	16
Prupe.1G013000.v2.1	347	724	735	370	462	521	386	687	494	161	366	499
Prupe.1G013100.v2.1	363	497	353	370	413	563	348	538	357	137	166	239
Prupe.1G013200.v2.1	1162	2128	2398	1903	2428	2655	1575	2270	2108	1221	2349	2070
Prupe.1G013300.v2.1	474	424	400	449	417	471	271	302	254	326	294	325
Prupe.1G013400.v2.1	35	61	41	53	57	100	59	106	64	31	69	96
Prupe.1G013500.v2.1	1974	4428	3970	2651	3886	4921	2081	3166	3134	665	2254	3019
Prupe.1G013600.v2.1	373	407	337	366	371	404	342	357	358	274	374	338
Prupe.1G013700.v2.1	9651	11513	10253	10981	10555	12577	7625	9136	8080	7978	12290	11381
Prupe.1G013800.v2.1	50	47	44	51	35	57	29	28	34	10	26	33
Prupe.1G013900.v2.1	52	138	82	59	106	160	29	62	39	56	37	69
Prupe.1G014000.v2.1	884	2254	2204	1587	2446	2734	1102	2217	2448	1434	2721	2527
Prupe.1G014100.v2.1	4830	4321	3863	6354	4565	5413	4897	3745	3476	6571	4203	4117
Prupe.1G014200.v2.1	1	2	7	2	3	4	4	3	2	0	2	1
Prupe.1G014300.v2.1	949	932	990	724	690	800	815	676	680	498	442	518
Prupe.1G014400.v2.1	93	132	111	91	112	130	108	90	83	49	86	121
Prupe.1G014500.v2.1	9	12	15	14	8	20	7	11	14	2	22	38
Prupe.1G014600.v2.1	2	3	0	5	4	3	4	7	1	25	4	7
Prupe.1G014700.v2.1	1	1	0	4	1	1	3	5	0	7	1	1
Prupe.1G014800.v2.1	0	0	0	0	0	0	0	0	0	1	1	0
Prupe.1G014900.v2.1	135	302	237	208	240	280	127	216	185	121	250	289
Prupe.1G015000.v2.1	14	10	6	10	10	13	14	5	7	0	4	3
Prupe.1G015100.v2.1	58	68	76	76	63	94	70	70	88	51	79	55
Prupe.1G015200.v2.1	0	2	2	3	2	0	0	0	1	4	8	6
Prupe.1G015300.v2.1	546	1329	1398	1239	1632	1729	670	1175	1112	485	1732	1703
Prupe.1G015400.v2.1	501	688	503	558	649	730	462	799	667	696	792	854
Prupe.1G015500.v2.1	416	730	587	334	420	566	394	547	524	196	446	529
Prupe.1G015600.v2.1	47	54	68	57	60	73	46	54	50	24	31	61
Prupe.1G015700.v2.1	29	44	38	51	50	88	22	25	24	15	55	102
Prupe.1G015800.v2.1	15	7	12	108	77	117	40	24	23	135	195	199
Prupe.1G015900.v2.1	192	389	362	267	354	496	192	340	265	128	345	363
Prupe.1G016000.v2.1	1013	1480	864	1259	1387	1621	1035	1515	887	2875	2678	2979
Prupe.1G016100.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G016200.v2.1	34	62	67	36	71	65	67	67	45	45	61	91
Prupe.1G016300.v2.1	0	0	1	1	1	0	0	0	0	0	2	1
Prupe.1G016400.v2.1	10	12	5	81	96	112	62	22	29	178	366	237
Prupe.1G016500.v2.1	0	1	6	17	55	31	20	32	55	21	287	209
Prupe.1G016600.v2.1	4	5	8	10	14	10	206	144	230	119	584	496
Prupe.1G016700.v2.1	0	0	0	4	14	7	19	11	31	6	56	79
Prupe.1G016800.v2.1	551	515	383	432	342	377	442	413	324	407	276	268
Prupe.1G016900.v2.1	7	3	3	1	4	5	1	3	0	2	0	38
Prupe.1G017000.v2.1	6	6	2	3	3	0	7	7	4	32	8	57
Prupe.1G017100.v2.1	0	0	1	0	0	0	0	0	0	0	23	19
Prupe.1G017200.v2.1	0	0	0	2	0	2	0	0	0	1	12	10
Prupe.1G017300.v2.1	275	546	534	827	894	1248	249	448	287	135	676	510
Prupe.1G017400.v2.1	677	1224	1208	908	1289	1439	784	1013	839	498	1062	1503
Prupe.1G017500.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G017600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G017700.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G017800.v2.1	6	5	4	20	22	24	3	1	1	0	1	0
Prupe.1G017900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G018000.v2.1	0	0	1	0	0	0	0	0	0	0	2	0
Prupe.1G018100.v2.1	0	0	1	0	0	1	0	0	0	0	2	3
Prupe.1G018200.v2.1	147	270	259	203	186	334	121	207	106	31	102	108
Prupe.1G018300.v2.1	91	152	181	152	169	197	117	128	124	74	133	168
Prupe.1G018400.v2.1	175	188	174	191	165	217	125	121	135	112	71	91
Prupe.1G018500.v2.1	177	161	122	152	148	195	122	171	111	130	138	182
Prupe.1G018600.v2.1	31	84	223	310	347	296	47	90	167	149	218	188
Prupe.1G018700.v2.1	18	43	102	161	189	172	53	77	92	104	212	110
Prupe.1G018800.v2.1	21	38	30	28	27	29	26	25	21	11	14	15
Prupe.1G018900.v2.1	840	1127	434	169	184	284	1049	996	879	847	867	731
Prupe.1G019000.v2.1	175	287	453	363	389	427	171	277	315	188	251	192
Prupe.1G019100.v2.1	304	703	613	880	1012	1311	317	366	313	75	538	553
Prupe.1G019200.v2.1	0	1	0	1	0	1	1	2	1	1	0	0
