Prupe.1G008700.v2.1	347
Prupe.1G008800.v2.1	33
Prupe.1G008900.v2.1	12
Prupe.1G009000.v2.1	878
Prupe.1G009100.v2.1	0
Prupe.1G009200.v2.1	70
Prupe.1G009300.v2.1	11
Prupe.1G009400.v2.1	39
Prupe.1G009500.v2.1	168
Prupe.1G009600.v2.1	11
Prupe.1G009700.v2.1	17
Prupe.1G009800.v2.1	128
Prupe.1G009900.v2.1	18
Prupe.1G010000.v2.1	2
Prupe.1G010100.v2.1	0
Prupe.1G010200.v2.1	61
Prupe.1G010300.v2.1	314
Prupe.1G010400.v2.1	21920
Prupe.1G010500.v2.1	1822
Prupe.1G010600.v2.1	134
Prupe.1G010700.v2.1	135
Prupe.1G010800.v2.1	56
Prupe.1G010900.v2.1	77
Prupe.1G011000.v2.1	12
Prupe.1G011100.v2.1	80
Prupe.1G011200.v2.1	5527
Prupe.1G011300.v2.1	555
Prupe.1G011400.v2.1	687
Prupe.1G011500.v2.1	1897
Prupe.1G011600.v2.1	6129
Prupe.1G011700.v2.1	90
Prupe.1G011800.v2.1	289
Prupe.1G011900.v2.1	1
Prupe.1G012000.v2.1	1
Prupe.1G012100.v2.1	50
Prupe.1G012200.v2.1	401
Prupe.1G012300.v2.1	7
Prupe.1G012400.v2.1	1
Prupe.1G012500.v2.1	0
Prupe.1G012600.v2.1	0
Prupe.1G012700.v2.1	24
Prupe.1G012800.v2.1	29
Prupe.1G012900.v2.1	2
Prupe.1G013000.v2.1	366
Prupe.1G013100.v2.1	166
Prupe.1G013200.v2.1	2349
Prupe.1G013300.v2.1	294
Prupe.1G013400.v2.1	69
Prupe.1G013500.v2.1	2254
Prupe.1G013600.v2.1	374
Prupe.1G013700.v2.1	12290
Prupe.1G013800.v2.1	26
Prupe.1G013900.v2.1	37
Prupe.1G014000.v2.1	2721
Prupe.1G014100.v2.1	4203
Prupe.1G014200.v2.1	2
Prupe.1G014300.v2.1	442
Prupe.1G014400.v2.1	86
Prupe.1G014500.v2.1	22
Prupe.1G014600.v2.1	4
Prupe.1G014700.v2.1	1
Prupe.1G014800.v2.1	1
Prupe.1G014900.v2.1	250
Prupe.1G015000.v2.1	4
Prupe.1G015100.v2.1	79
Prupe.1G015200.v2.1	8
Prupe.1G015300.v2.1	1732
Prupe.1G015400.v2.1	792
Prupe.1G015500.v2.1	446
Prupe.1G015600.v2.1	31
Prupe.1G015700.v2.1	55
Prupe.1G015800.v2.1	195
Prupe.1G015900.v2.1	345
Prupe.1G016000.v2.1	2678
Prupe.1G016100.v2.1	0
Prupe.1G016200.v2.1	61
Prupe.1G016300.v2.1	2
Prupe.1G016400.v2.1	366
Prupe.1G016500.v2.1	287
Prupe.1G016600.v2.1	584
Prupe.1G016700.v2.1	56
Prupe.1G016800.v2.1	276
Prupe.1G016900.v2.1	0
Prupe.1G017000.v2.1	8
Prupe.1G017100.v2.1	23
Prupe.1G017200.v2.1	12
Prupe.1G017300.v2.1	676
Prupe.1G017400.v2.1	1062
Prupe.1G017500.v2.1	0
Prupe.1G017600.v2.1	0
Prupe.1G017700.v2.1	0
Prupe.1G017800.v2.1	1
Prupe.1G017900.v2.1	0
Prupe.1G018000.v2.1	2
Prupe.1G018100.v2.1	2
Prupe.1G018200.v2.1	102
Prupe.1G018300.v2.1	133
Prupe.1G018400.v2.1	71
Prupe.1G018500.v2.1	138
Prupe.1G018600.v2.1	218
Prupe.1G018700.v2.1	212
Prupe.1G018800.v2.1	14
Prupe.1G018900.v2.1	867
Prupe.1G019000.v2.1	251
Prupe.1G019100.v2.1	538
Prupe.1G019200.v2.1	0
Prupe.1G019300.v2.1	0
Prupe.1G019400.v2.1	2802
Prupe.1G019500.v2.1	3365
Prupe.1G019600.v2.1	0
Prupe.1G019700.v2.1	40
Prupe.1G019800.v2.1	150
Prupe.1G019900.v2.1	1
Prupe.1G020000.v2.1	265
Prupe.1G020100.v2.1	296
Prupe.1G020200.v2.1	278
Prupe.1G020300.v2.1	706
Prupe.1G020400.v2.1	5
Prupe.1G020500.v2.1	40
Prupe.1G020600.v2.1	77
Prupe.1G020700.v2.1	170
Prupe.1G020800.v2.1	459
Prupe.1G020900.v2.1	360
Prupe.1G021000.v2.1	411
Prupe.1G021100.v2.1	7274
Prupe.1G021200.v2.1	30
Prupe.1G021300.v2.1	443
Prupe.1G021400.v2.1	752
Prupe.1G021500.v2.1	5
Prupe.1G021600.v2.1	18
Prupe.1G021700.v2.1	5
Prupe.1G021800.v2.1	8
Prupe.1G021900.v2.1	86
Prupe.1G022000.v2.1	20
Prupe.1G022100.v2.1	127
Prupe.1G022200.v2.1	1
Prupe.1G022300.v2.1	1733
Prupe.1G022400.v2.1	1858
Prupe.1G022500.v2.1	18
Prupe.1G022600.v2.1	1234
Prupe.1G022700.v2.1	8
Prupe.1G022800.v2.1	2
Prupe.1G022900.v2.1	1718
Prupe.1G023000.v2.1	1475
Prupe.1G023100.v2.1	17
Prupe.1G023200.v2.1	349
Prupe.1G023300.v2.1	794
Prupe.1G023400.v2.1	452
Prupe.1G023500.v2.1	21
Prupe.1G023600.v2.1	134
Prupe.1G023700.v2.1	1030
Prupe.1G023800.v2.1	2687
Prupe.1G023900.v2.1	0
Prupe.1G024000.v2.1	89
Prupe.1G024100.v2.1	763
Prupe.1G024200.v2.1	663
Prupe.1G024300.v2.1	1
Prupe.1G024400.v2.1	1
Prupe.1G024500.v2.1	16
Prupe.1G024600.v2.1	4
Prupe.1G024700.v2.1	0
Prupe.1G024800.v2.1	2
Prupe.1G024900.v2.1	955
Prupe.1G025000.v2.1	55
Prupe.1G025100.v2.1	631
Prupe.1G025200.v2.1	173
Prupe.1G025300.v2.1	0
Prupe.1G025400.v2.1	0
Prupe.1G025500.v2.1	529
Prupe.1G025600.v2.1	3074
Prupe.1G025700.v2.1	1692
Prupe.1G025800.v2.1	423
Prupe.1G025900.v2.1	29
Prupe.1G026000.v2.1	0
Prupe.1G026100.v2.1	94
Prupe.1G026200.v2.1	6
Prupe.1G026300.v2.1	0
Prupe.1G026400.v2.1	821
Prupe.1G026500.v2.1	86
Prupe.1G026600.v2.1	0
Prupe.1G026700.v2.1	11
Prupe.1G026800.v2.1	782
Prupe.1G026900.v2.1	439
Prupe.1G027000.v2.1	983
Prupe.1G027100.v2.1	223
Prupe.1G027200.v2.1	342
Prupe.1G027300.v2.1	248
Prupe.1G027400.v2.1	47
Prupe.1G027500.v2.1	6
Prupe.1G027600.v2.1	24
Prupe.1G027700.v2.1	105
Prupe.1G027800.v2.1	311
Prupe.1G027900.v2.1	229
Prupe.1G028000.v2.1	44
Prupe.1G028100.v2.1	229
Prupe.1G028200.v2.1	5
Prupe.1G028300.v2.1	0
Prupe.1G028400.v2.1	1024
Prupe.1G028500.v2.1	416
Prupe.1G028600.v2.1	0
Prupe.1G028700.v2.1	0
Prupe.1G028800.v2.1	6875
Prupe.1G028900.v2.1	2
Prupe.1G029000.v2.1	0
Prupe.1G029100.v2.1	0
Prupe.1G029200.v2.1	14
Prupe.1G029300.v2.1	4
Prupe.1G029400.v2.1	51
Prupe.1G029500.v2.1	0
Prupe.1G029600.v2.1	4
Prupe.1G029700.v2.1	0
Prupe.1G029800.v2.1	0
Prupe.1G029900.v2.1	0
Prupe.1G030000.v2.1	551
Prupe.1G030100.v2.1	10
Prupe.1G030200.v2.1	531
Prupe.1G030300.v2.1	648
Prupe.1G030400.v2.1	5
Prupe.1G030500.v2.1	3573
Prupe.1G030600.v2.1	1494
Prupe.1G030700.v2.1	413
Prupe.1G030800.v2.1	861
Prupe.1G030900.v2.1	2310
Prupe.1G031000.v2.1	2
Prupe.1G031100.v2.1	279
Prupe.1G031200.v2.1	1
Prupe.1G031300.v2.1	38
Prupe.1G031400.v2.1	1943
Prupe.1G031500.v2.1	174
Prupe.1G031600.v2.1	1
Prupe.1G031700.v2.1	473
Prupe.1G031800.v2.1	16
Prupe.1G031900.v2.1	1
